,teamColor,label
0,0,1
11391,"FC 바르셀로나, AC 밀란",18
16226,레알 마드리드,86
28077,AC 밀란,9
37864,"프랑스, TT",405
38603,GR,19
44326,프랑스,391
52690,"레알 마드리드, AC 밀란",91
77174,"프랑스, AC 밀란",399
77179,브라질,192
77180,첼시,310
77190,"첼시, 레알 마드리드",326
77195,"프랑스, 레알 마드리드",409
77218,맨체스터 시티,123
77264,TT,39
77269,"첼시, AC 밀란",315
77279,"바이에른 뮌헨, 독일",159
77289,"네덜란드, AC 밀란",52
77299,"프랑스, 첼시",419
77307,"잉글랜드, GR",298
77341,FC 바르셀로나,14
77342,"첼시, TT",321
77343,"HOT, AC 밀란",24
77344,"브라질, AC 밀란",198
77346,"아스널, TT",238
77399,"바이엘 04 레버쿠젠, 대한민국",168
77601,"프랑스 2기 황금세대, 프랑스",394
77602,"바이에른 뮌헨, TC",156
77603,"이탈리아, AC 밀란",266
77605,파리 생제르맹,364
77731,"TC, AC 밀란",37
77754,"첼시, FC 바르셀로나",316
77759,맨체스터 유나이티드,137
77767,"프랑스, GR",401
77772,"바이엘 04 레버쿠젠, 독일",169
77776,"토트넘 홋스퍼, 18S",344
77839,"NHD, AC 밀란",28
77842,19TOTS,6
77868,TC,35
77888,"GR, AC 밀란",20
77896,"브라질, 18S",196
77902,"맨체스터 시티, GR",130
77905,"리버풀, AC 밀란",112
77912,"인테르, AC 밀란",274
77925,"보루시아 도르트문트, 18S",184
77938,"토트넘 홋스퍼, 레알 마드리드",355
77942,"맨체스터 유나이티드, HOT",143
77946,"맨체스터 유나이티드, 네덜란드",147
77974,"아틀레티코 마드리드, 스페인",254
77978,인테르,272
77984,"TT, AC 밀란",40
77999,"프랑스, 인테르",418
78026,"아스널, 18S",231
78028,"프랑스 1기 황금세대, 프랑스",392
78071,스페인,210
78079,"아약스, 네덜란드",246
78108,"HOT, FC 바르셀로나",25
78227,토트넘 홋스퍼,342
78345,"맨체스터 유나이티드, 18",138
78362,보루시아 도르트문트,182
78370,"AC 밀란, 18",10
78374,"대한민국, K19",65
78401,"맨체스터 유나이티드, AC 밀란",140
78405,"맨체스터 유나이티드, GR",142
78414,"레알 마드리드, TT",99
78455,"첼시, TC",320
78484,"프랑스, 아스널",415
78505,"잉글랜드, 맨체스터 유나이티드",305
78559,"대한민국, TKI",67
78626,"프랑스, 맨체스터 시티",411
78627,"독일, AC 밀란",73
78635,"FC 바르셀로나, 18S",16
78788,"토트넘 홋스퍼, 맨체스터 시티",356
78842,"보루시아 도르트문트, TC",187
78992,"네덜란드, PSV",56
78999,네덜란드,49
79117,"바이엘 04 레버쿠젠, 18S",164
79282,"네덜란드, TT",58
79285,"첼시, 벨기에",332
79288,아스널,229
79367,"맨체스터 시티, AC 밀란",128
79368,잉글랜드,293
79400,"보루시아 도르트문트, 독일",188
79404,리버풀,108
79405,HOT,22
79435,"토트넘 홋스퍼, 18",343
79446,"레알 마드리드, FC 바르셀로나",92
79479,"레알 마드리드, 네덜란드",100
79505,"바이에른 뮌헨, TT",157
79630,"리버풀, TC",117
79643,"프랑스, FC 바르셀로나",400
79672,"맨체스터 유나이티드, TC",145
79738,이탈리아,263
79755,18,2
79773,"바이에른 뮌헨, 레알 마드리드",160
79799,"프랑스, 파리 생제르맹",421
79801,"첼시, 바이에른 뮌헨",330
79825,"맨체스터 유나이티드, TT",146
79827,바이에른 뮌헨,151
79844,"브라질, FC 바르셀로나",199
79865,바이엘 04 레버쿠젠,163
79913,NHD,27
79958,"레알 마드리드, 독일",101
80013,"맨체스터 시티, 19TOTS",127
80019,"TC, FC 바르셀로나",38
80076,"잉글랜드, 에버턴",307
80105,"네덜란드, GR",54
80217,"프랑스, 18S",396
80428,"첼시, 네덜란드",322
80434,"첼시, HOT",318
80436,"잉글랜드, 18",294
80615,"스페인, 레알 마드리드",222
80619,"스페인, 18",213
80629,"이탈리아, TT",270
80701,"브라질, TC",202
80738,"PSV, AC 밀란",31
80768,"첼시, 맨체스터 시티",328
80888,"리버풀, GR",114
80902,19TOTY,7
80981,"인테르, 리버풀",284
81047,"프랑스, HOT",402
81057,"프랑스, 맨체스터 유나이티드",412
81085,"포르투갈, 레알 마드리드",386
81159,"스페인, FC 바르셀로나",216
81163,"레알 마드리드, TC",98
81167,"FC 바르셀로나, 18",15
81461,"잉글랜드, 맨체스터 시티",304
81567,"첼시, 스페인",336
81817,"프랑스, 18",395
81826,"레알 마드리드, 18",87
81906,"잉글랜드, 리버풀",303
81907,"네덜란드, FC 바르셀로나",53
81935,18S,4
82010,"아틀레티코 마드리드, GR",250
82031,"아스널, 스페인",242
82094,"파리 생제르맹, 첼시",378
82105,"벨기에, 레알 마드리드",179
82188,"레알 마드리드, GR",93
82297,"첼시, 바이엘 04 레버쿠젠",331
82502,"레스터 시티, HOT",85
82617,"맨체스터 유나이티드, FC 바르셀로나",141
82671,"바이에른 뮌헨, AC 밀란",153
82682,"로마, 18",103
82920,대한민국,59
83041,"토트넘 홋스퍼, 잉글랜드",363
83052,"전북 현대 모터스, 대한민국",309
83184,TB,34
83618,"프랑스, TC",404
83659,"맨체스터 시티, TT",133
83936,"로마, TC",106
83962,"발렌시아 CF, 18S",173
84115,나폴리,45
84449,"포르투갈, AC 밀란",382
84508,"브라질, 레알 마드리드",204
84519,아틀레티코 마드리드,248
84597,"인테르, 벨기에",288
84655,"브라질, 리버풀",205
84658,"프랑스, 토트넘 홋스퍼",420
84761,"벨기에 황금세대, 벨기에",177
84813,아르헨티나,225
84860,"AC 밀란, 19TOTS",12
85068,"대한민국, 18S",61
85147,"레알 마드리드, HOT",94
85199,"맨체스터 시티, HOT",131
85432,"첼시, 독일",323
85462,라치오,81
85466,레스터 시티,83
85536,"인테르, TC",278
86404,"토트넘 홋스퍼, FC 바르셀로나",347
86615,"바이에른 뮌헨, 18S",152
86620,"토트넘 홋스퍼, 대한민국",354
86666,"파리 생제르맹, 브라질",375
86844,발렌시아 CF,172
86857,"아스널, AC 밀란",232
86891,"HOT, 18",23
87049,"TT, FC 바르셀로나",41
87087,"첼시, 맨체스터 유나이티드",329
87107,"첼시, 19TOTY",314
87139,"리버풀, 네덜란드",119
87148,PSV,30
87232,"레알 마드리드, NHD",95
87427,독일,68
87506,"독일, GR",75
87923,"독일 황금세대, 독일",69
88232,"파리 생제르맹, 레알 마드리드",373
88234,"첼시, 잉글랜드",341
88612,"TT, GR",42
88797,"독일, FC 바르셀로나",74
89015,"이탈리아 황금세대, 이탈리아",264
89046,"파리 생제르맹, 인테르",377
89071,"첼시, NHD",319
89088,"아스널, 보루시아 도르트문트",241
89185,"브라질, 맨체스터 시티",206
89417,"첼시, 아스널",337
89716,"브라질, 19TOTS",197
89937,포르투갈,380
90085,"첼시, 인테르",340
90115,"보루시아 도르트문트, 18",183
90131,"아스널, GR",234
90514,"왓퍼드, HOT",259
90814,"프랑스, 리버풀",410
91008,"보루시아 도르트문트, 19TOTS",185
91067,로마,102
91087,"맨체스터 시티, FC 바르셀로나",129
91141,"첼시, 브라질",335
91261,"리버풀, 19TOTS",111
91343,"프랑스, 바이에른 뮌헨",413
91377,"인테르, TT",279
91395,"독일, 19TOTS",72
91684,"인테르, 네덜란드",281
91967,"프랑스, 19TOTS",397
92103,"아스널, NHD",236
92104,"바이에른 뮌헨, 맨체스터 시티",161
92298,"아스널, HOT",235
92390,"아르헨티나 황금세대, 아르헨티나",226
92417,"바이에른 뮌헨, GR",155
92934,"맨체스터 시티, 독일",134
93250,"토트넘 홋스퍼, 벨기에",357
93371,"대한민국, K18",64
93726,"파리 생제르맹, 19TOTS",366
93798,"리버풀, 레알 마드리드",121
94149,"맨체스터 유나이티드, 레알 마드리드",149
94478,"잉글랜드, 레스터 시티",302
94595,"보루시아 도르트문트, GR",186
94797,"스페인, TB",219
95433,"리버풀, 18S",110
95907,"토트넘 홋스퍼, AC 밀란",346
96175,"첼시, 리버풀",327
96512,"독일, TC",79
96557,"잉글랜드, HOT",299
96795,"바이에른 뮌헨, 네덜란드",158
96824,"인테르, 레알 마드리드",283
96869,"첼시, GR",317
97152,"토트넘 홋스퍼, TT",352
97180,"파리 생제르맹, AC 밀란",367
97422,"인테르, 바이에른 뮌헨",287
97508,"바이엘 04 레버쿠젠, 레알 마드리드",170
97837,"리버풀, TT",118
97973,"독일, 18",70
98117,"토트넘 홋스퍼, HOT",348
98578,"맨체스터 시티, 리버풀",136
